Date,Opponent,Inning,Team,Baserunners,Runs,LOB,Conversion_Rate,Strand_Rate
4/3/2026,RiverCats,1,RiverCats,0,0,0,0,0
4/3/2026,RiverCats,1,Bees,1,0,1,0,1
4/3/2026,RiverCats,2,RiverCats,1,0,1,0,1
4/3/2026,RiverCats,2,Bees,0,0,0,0,0
4/3/2026,RiverCats,3,RiverCats,3,1,2,0.3333333333,0.6666666667
4/3/2026,RiverCats,3,Bees,0,0,0,0,0
4/3/2026,RiverCats,4,RiverCats,3,1,2,0.3333333333,0.6666666667
4/3/2026,RiverCats,4,Bees,1,0,0,0,0
4/3/2026,RiverCats,5,RiverCats,2,0,2,0,1
4/3/2026,RiverCats,5,Bees,4,1,3,0.25,0.75
4/3/2026,RiverCats,6,RiverCats,1,0,0,0,0
4/3/2026,RiverCats,6,Bees,3,1,2,0.3333333333,0.6666666667
4/3/2026,RiverCats,7,RiverCats,1,0,1,0,1
4/3/2026,RiverCats,7,Bees,7,4,2,0.5714285714,0.2857142857
4/3/2026,RiverCats,8,RiverCats,6,3,3,0.5,0.5
4/3/2026,RiverCats,8,Bees,0,0,0,0,0
4/3/2026,RiverCats,9,RiverCats,0,0,0,0,0
